代码,名称,alphafeed_symbol
001220,世盟股份,001220.SZ
001221,悍高集团,001221.SZ
001222,源飞宠物,001222.SZ
001223,欧克科技,001223.SZ
001225,和泰机电,001225.SZ
001226,拓山重工,001226.SZ
001227,兰州银行,001227.SZ
001228,永泰运,001228.SZ
001229,魅视科技,001229.SZ
001230,劲旅环境,001230.SZ
001231,农心科技,001231.SZ
001232,嘉立创,001232.SZ
001233,海安集团,001233.SZ
001234,泰慕士,001234.SZ
001236,弘业期货,001236.SZ
001237,惠康科技,001237.SZ
001238,浙江正特,001238.SZ
001239,永达股份,001239.SZ
001248,华润新能,001248.SZ
001255,博菲电气,001255.SZ
001256,炜冈科技,001256.SZ
001257,盛龙股份,001257.SZ
001258,立新能源,001258.SZ
001259,利仁科技,001259.SZ
001260,坤泰股份,001260.SZ
001266,宏英智能,001266.SZ
001267,汇绿生态,001267.SZ
001268,联合精密,001268.SZ
001269,欧晶科技,001269.SZ
001270,铖昌科技,001270.SZ
001277,速达股份,001277.SZ
001278,一彬科技,001278.SZ
001279,强邦新材,001279.SZ
001280,中国铀业,001280.SZ
001282,三联锻造,001282.SZ
001283,豪鹏科技,001283.SZ
001285,瑞立科密,001285.SZ
001286,陕西能源,001286.SZ
001287,中电港,001287.SZ
001288,运机集团,001288.SZ
001289,龙源电力,001289.SZ
001296,长江材料,001296.SZ
001298,好上好,001298.SZ
001299,美能能源,001299.SZ
001300,三柏硕,001300.SZ
001301,尚太科技,001301.SZ
001306,夏厦精密,001306.SZ
001308,康冠科技,001308.SZ
001309,德明利,001309.SZ
001311,多利科技,001311.SZ
001312,福恩股份,001312.SZ
001313,粤海饲料,001313.SZ
001314,亿道信息,001314.SZ
001316,润贝航科,001316.SZ
001317,三羊马,001317.SZ
001318,阳光乳业,001318.SZ
001319,铭科精技,001319.SZ
001322,箭牌家居,001322.SZ
001323,慕思股份,001323.SZ
001324,长青科技,001324.SZ
001325,元创股份,001325.SZ
001326,联域股份,001326.SZ
001328,登康口腔,001328.SZ
001330,博纳影业,001330.SZ
001331,胜通能源,001331.SZ
001332,锡装股份,001332.SZ
001333,光华股份,001333.SZ
001335,信凯科技,001335.SZ
001336,楚环科技,001336.SZ
001337,四川黄金,001337.SZ
001338,永顺泰,001338.SZ
001339,智微智能,001339.SZ
001356,富岭股份,001356.SZ
001358,兴欣新材,001358.SZ
001359,平安电工,001359.SZ
001360,南矿集团,001360.SZ
001365,天海电子,001365.SZ
001366,播恩集团,001366.SZ
001367,海森药业,001367.SZ
001368,通达创智,001368.SZ
001369,双欣材料,001369.SZ
001373,翔腾新材,001373.SZ
001376,百通能源,001376.SZ
001378,德冠新材,001378.SZ
001379,腾达科技,001379.SZ
001380,华纬科技,001380.SZ
001382,新亚电缆,001382.SZ
001386,马可波罗,001386.SZ
001387,雪祺电气,001387.SZ
001388,信通电子,001388.SZ
001389,广合科技,001389.SZ
001390,古麒绒材,001390.SZ
001391,国货航,001391.SZ
001393,维通利,001393.SZ
001395,亚联机械,001395.SZ
001396,誉帆科技,001396.SZ
001399,惠科股份,001399.SZ
001400,江顺科技,001400.SZ
001696,宗申动力,001696.SZ
001872,招商港口,001872.SZ
001896,豫能控股,001896.SZ
001914,招商积余,001914.SZ
001965,招商公路,001965.SZ
001979,招商蛇口,001979.SZ
002001,新 和 成,002001.SZ
002003,伟星股份,002003.SZ
002004,华邦健康,002004.SZ
002005,德豪润达,002005.SZ
002006,精工科技,002006.SZ
002007,华兰生物,002007.SZ
002008,大族激光,002008.SZ
002009,天奇股份,002009.SZ
002010,传化智联,002010.SZ
002011,盾安环境,002011.SZ
002012,凯恩股份,002012.SZ
002014,永新股份,002014.SZ
002015,协鑫能科,002015.SZ
002016,世荣兆业,002016.SZ
002017,东信和平,002017.SZ
002019,亿帆医药,002019.SZ
002020,京新药业,002020.SZ
002021,中捷资源,002021.SZ
002022,科华生物,002022.SZ
002023,海特高新,002023.SZ
002024,ST易购,002024.SZ
002025,航天电器,002025.SZ
002026,山东威达,002026.SZ
002027,分众传媒,002027.SZ
002028,思源电气,002028.SZ
002029,七 匹 狼,002029.SZ
002030,达安基因,002030.SZ
002031,巨轮智能,002031.SZ
002032,苏 泊 尔,002032.SZ
002033,丽江股份,002033.SZ
002034,旺能环境,002034.SZ
002035,华帝股份,002035.SZ
002036,联创电子,002036.SZ
002037,保利联合,002037.SZ
002038,双鹭药业,002038.SZ
002039,黔源电力,002039.SZ
002040,南 京 港,002040.SZ
002041,登海种业,002041.SZ
002042,华孚时尚,002042.SZ
002043,兔 宝 宝,002043.SZ
002044,美年健康,002044.SZ
002045,国光电器,002045.SZ
002046,国机精工,002046.SZ
002047,宝鹰股份,002047.SZ
002048,宁波华翔,002048.SZ
002049,紫光国微,002049.SZ
002050,三花智控,002050.SZ
002051,中工国际,002051.SZ
002052,同洲电子,002052.SZ
002053,云南能投,002053.SZ
002054,德美化工,002054.SZ
002055,ST得润,002055.SZ
002056,横店东磁,002056.SZ
002057,中钢天源,002057.SZ
002058,威尔泰,002058.SZ
002059,云南旅游,002059.SZ
002060,广东建工,002060.SZ
002061,浙江交科,002061.SZ
002062,宏润建设,002062.SZ
002063,远光软件,002063.SZ
002064,华峰化学,002064.SZ
002065,东华软件,002065.SZ
002066,瑞泰科技,002066.SZ
002067,景兴纸业,002067.SZ
002068,黑猫股份,002068.SZ
002069,獐子岛,002069.SZ
002072,凯瑞德,002072.SZ
